21-1 C400,Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
21-1 C400,01/21/2022,45.61,46.08,37.88,37.88,-15.43,195,1380,107.34%,0.95097849946087,0.0041584222004279,-1.2479907936721,0.023095992756596,0.0074387263756156,38.48000125603,437.98,400
21-1 C400,01/20/2022,53.55,58.03,53.31,53.31,1.21,284,1421,0.00%,0,0,0,0,0,0,446.75,400
21-1 C400,01/19/2022,55.87,55.87,52.1,52.1,-4.97,95,1446,81.18%,0.9802304096381,0.0017736161118603,-0.3162052154515,0.015994816064793,0.012857912068398,51.935000827287,451.75,400
21-1 C400,01/18/2022,58.79,58.79,56.39,57.07,-7.78,15,1459,68.54%,0.98482653732357,0.0023994750132621,-0.17252040191096,0.015758332993758,0.017634516513709,56.624999999994,456.49,400
21-1 C400,01/14/2022,63.35,64.85,61.85,64.85,1.07,75,1443,61.84%,0.96401953991832,0.0019974426009015,-0.21521041870999,0.050634784259185,0.044660292353171,65.250003513261,464.72,400
21-1 C400,01/13/2022,72.38,72.38,63.78,63.78,-7.33,11,1444,42.70%,0.99332435937357,0.00065403070478648,-0.029060669017866,0.012479385474282,0.026360925886593,64.565001137966,464.53,400
21-1 C400,01/12/2022,71.43,72.87,70.59,71.11,2.79,14,1436,56.63%,0.97061042879328,0.0016103250994852,-0.14645575524873,0.049156424166571,0.055574590263063,71.440002342697,471.02,400
21-1 C400,01/11/2022,63.96,68.32,63.96,68.32,9.13,63,1447,42.60%,0.99160060909472,0.00070780144678733,-0.032258843361888,0.017254101900115,0.033941836008466,69.805001713428,469.75,400
21-1 C400,01/10/2022,59.96,59.96,58.02,59.19,-8.31,36,1447,37.39%,0.99329251233557,0.00064060429495777,-0.020918432135566,0.014582019369904,0.032410965467022,65.539999999989,465.51,400
21-1 C400,01/07/2022,65.81,67.5,65.81,67.5,-0.56999999999999,5,1448,39.38%,0.97996924095325,0.0013762177419766,-0.054878064875855,0.043517674270479,0.067848773710466,66.280002660007,466.09,400
21-1 C400,01/06/2022,69.72,70.17,68.07,68.07,-0.93000000000001,88,1475,46.30%,0.95784410667368,0.0044828816240094,-0.12250369732669,0.084685605513415,0.093963198111169,68.600006185525,467.94,400
21-1 C400,01/05/2022,76.86,76.86,69,69,-7.55,25,1477,48.55%,0.94605652243262,0.0023169386745375,-0.15351936610841,0.10674786084321,0.10357251767346,69.375005946956,468.38,400
21-1 C400,01/04/2022,79.79,79.79,76.55,76.55,-1.3,12,1481,35.28%,0.99437961296933,0.0038636056791628,-0.01305657022499,0.015301406869089,0.036770130051877,77.575001250485,477.55,400
21-1 C400,01/03/2022,76.45,78,74.87,77.85,1.15,30,1480,38.66%,0.98487704067313,0.00095184094292727,-0.036970966720655,0.039366499281411,0.072946075846403,77.849999999847,477.71,400
21-1 C400,12/31/2021,76.7,76.7,76.7,76.7,-1.44,2,1482,43.83%,0.95538247336074,0.0019052990385398,-0.10302148414523,0.10604727991489,0.1220594292306,75.75500569691,474.96,400
21-1 C400,12/30/2021,78.28,78.6,78.14,78.14,-0.36,14,1487,42.48%,0.95881926682401,0.0017978501038829,-0.090804461714682,0.10190853831233,0.1266037239489,76.860005925477,476.16,400
21-1 C400,12/29/2021,77.3,78.5,77.3,78.5,1.31,16,1492,38.21%,0.97275790672263,0.0013977963551845,-0.054714891125291,0.073887569650115,0.11646268927024,77.830004272808,477.48,400
21-1 C400,12/28/2021,78.51,78.64,77.19,77.19,-0.52,5,1493,44.12%,0.94766625217714,0.0020065200079006,-0.10869382679542,0.1290845686784,0.14022070793374,77.875007410987,476.87,400
21-1 C400,12/27/2021,73.74,77.71,73.74,77.71,5.71,35,1507,38.52%,0.9667488646371,0.0015714633440475,-0.061182272267502,0.090509466992152,0.12443014707486,77.710007503451,477.26,400
21-1 C400,12/23/2021,70.67,72,70.67,72,4.64,17,1512,36.06%,0.95187621951911,0.0021215605674161,-0.073709748979103,0.13094675112683,0.16855693996121,71.375007081311,470.6,400
21-1 C400,12/22/2021,63.73,67.36,63.73,67.36,3.73,81,1520,36.67%,0.93965422215095,0.0024650429022452,-0.088713429822936,0.15847909377871,0.17630735508571,68.780008479738,467.69,400
21-1 C400,12/21/2021,59.05,63.63,59.05,63.63,7.97,28,1500,34.64%,0.93476829737417,0.0027564420174752,-0.086406481813587,0.1694834213365,0.18271459367725,64.190010491518,463.06,400
