Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
01/21/2022,6.75,8.21,0.02,0.02,-7.04,46561,18993,5.15%,0.042005621510324,0.076414190099167,-0.052759737627763,0.020393900618484,0.00046417987374339,0.020001212450708,437.98,440
01/20/2022,13.92,18.53,7,7.06,-5.27,642,18887,24.34%,0.88519070595723,0.034556520653935,-0.54174819281716,0.045320144221731,0.0080584462436306,7.0600032152828,446.75,440
01/19/2022,18.36,19.29,12.14,12.33,-4.48,650,19426,30.44%,0.8810836681922,0.019573212176069,-0.49598088731617,0.066427964270177,0.015956992838184,12.329999999995,451.75,440
01/18/2022,19.56,19.6,16.26,16.81,-6.59,159,19507,31.88%,0.90105816518718,0.013243272230262,-0.37313363282721,0.071998462342005,0.02369805551794,17.085002138871,456.49,440
01/14/2022,22.69,24.31,21.2,23.4,-1.36,125,19488,29.86%,0.91047964554416,0.0084675856676585,-0.21236369339864,0.10384574609126,0.052865944510927,25.465006866967,464.72,440
01/13/2022,32.66,32.82,24.57,24.76,-6.25,107,19529,25.36%,0.92905122586936,0.0078566914848778,-0.13882549996458,0.092935156076395,0.057258336072508,25.019999998939,464.53,440
01/12/2022,32.55,32.94,30.81,31.01,0.76,286,19440,29.85%,0.93078636372356,0.0060830320985379,-0.15391308724115,0.098039287960105,0.064391370901973,31.630006824746,471.02,440
01/11/2022,23.67,30.25,23.67,30.25,3.88,243,19522,25.62%,0.94232433976977,0.0058760337199697,-0.10605494748361,0.089224645576928,0.067453892915736,30.170006055365,469.75,440
01/10/2022,24.04,26.37,19.52,26.37,-0.63,449,19668,24.25%,0.91367457153601,0.0081165863796126,-0.13092686557702,0.12667432306208,0.079034156330593,26.205005894493,465.51,440
01/07/2022,29.1,29.77,26.83,27,-1.93,205,19882,23.44%,0.89984291684581,0.0082975459429283,-0.12499392690784,0.15965748477684,0.10058516419775,27.000010563128,466.09,440
01/06/2022,30.06,30.8,27.78,28.93,-0.57,164,19961,27.19%,0.87357816560259,0.0080992996801888,-0.16872363689539,0.19620986286897,0.11205988825758,29.455014308246,467.94,440
01/05/2022,38,38,29.5,29.5,-9.75,133,19973,28.37%,0.85994033857458,0.0080491094425928,-0.1840338425152,0.2177103346903,0.11971036251168,30.260013395119,468.38,440
01/04/2022,40.08,40.25,37.01,39.25,1.2,36,19975,22.97%,0.95577372844445,0.0040377038644849,-0.057138038584981,0.095027346128152,0.09978551274159,37.875006242299,477.55,440
01/03/2022,37.46,38.05,35.81,38.05,1.13,27,19994,22.62%,0.95438465405083,0.0040855343048898,-0.055910577110296,0.10026237035242,0.10592993548997,38.049999999978,477.71,440
12/31/2021,36.63,37.31,36.47,36.92,0,135,19995,26.07%,0.89535469221241,0.006167874037371,-0.11892797448895,0.20553837997902,0.15073676351562,36.295014117104,474.96,440
12/30/2021,39.35,39.35,36.92,36.92,-2.18,25,20079,25.65%,0.90123393686576,0.0058636294358309,-0.10921336435452,0.20205831637366,0.15567710853759,37.40001181905,476.16,440
12/29/2021,38.45,39.14,37.56,39.1,0.8,106,20079,23.78%,0.92089438604727,0.005250143894445,-0.082577267580783,0.17492500552985,0.14965998751393,38.344999999983,477.48,440
12/28/2021,39.12,40,37.75,38.3,0.45,277,20181,27.32%,0.88187935615258,0.0059898673264665,-0.12567343597484,0.2402651757706,0.16906627875457,38.580005243751,476.87,440
12/27/2021,33.93,37.87,33.93,37.85,5.15,93,20247,24.70%,0.90313441471855,0.0056500782717205,-0.094295483431495,0.2118406171784,0.16330003482778,38.439999999893,477.26,440
12/23/2021,31.11,33.68,31.11,32.7,2.7,92,20248,23.28%,0.85447534046013,0.007472657399779,-0.1122593270988,0.30139831594566,0.20569019909544,32.70000788065,470.6,440
12/22/2021,27.15,30,27.15,30,2.97,71,20231,24.12%,0.81900038750529,0.0082036497020623,-0.13213826494566,0.35158635791596,0.21443462353924,30.650022332133,467.69,440
12/21/2021,24.11,27.03,22.55,27.03,4.9,164,20232,23.96%,0.77586303342968,0.009311163718216,-0.14637560123815,0.4024874642988,0.2171007669934,27.030026754738,463.06,440
12/20/2021,21.88,22.13,19.62,22.13,-3.56,282,20248,25.93%,0.67881778455321,0.010288850356132,-0.18679315078651,0.48144721933612,0.20498801293437,22.200035224888,454.98,440
12/17/2021,26.79,28.27,24.17,25.69,-3.68,193,20246,25.13%,0.72461462774313,0.0093682956213748,-0.16182391094485,0.47422137942267,0.23598949594472,25.785042210314,459.87,440
12/16/2021,34.05,34.05,28.44,29.37,-3.11,686,20150,21.79%,0.81069600512686,0.0085554343056428,-0.11066185825273,0.39475367159578,0.25354282288485,29.504999999977,466.45,440
12/15/2021,27.04,32.48,25.53,32.48,6.01,68,20129,20.20%,0.85903449390709,0.0074904052887999,-0.081910856836986,0.33256914787305,0.25584706975224,32.480022013689,470.6,440
12/14/2021,27.66,28.22,25.19,26.47,-4.04,35,20148,20.73%,0.78764309396776,0.0094398822343964,-0.10895659816765,0.43170099345935,0.26252860507725,26.810025041275,463.36,440
12/13/2021,32.19,32.19,30.1,30.51,-2.54,320,20208,21.02%,0.81089531401724,0.0085216876719721,-0.10191133441686,0.41040554581306,0.27058685721689,29.610022931612,466.57,440
12/10/2021,32,33.05,30.16,33.05,3.34,125,20208,20.29%,0.84414460775853,0.0075407691974306,-0.082833309167574,0.37916525893716,0.29083558435635,33.050034260637,470.74,440
12/09/2021,31.62,31.79,29.71,29.71,-2.96,229,20205,20.73%,0.80103545654291,0.008491508730641,-0.098452040540507,0.44419878037998,0.29580794169703,29.710028090576,466.35,440
12/08/2021,32.23,32.67,30.87,32.67,0.89,127,20234,20.84%,0.82353374354383,0.0077143846992266,-0.090823315366251,0.41949367719435,0.30026458190946,32.430037321793,469.52,440
12/07/2021,30.36,32.52,30.36,31.78,5.82,152,20288,22.78%,0.79105219598961,0.0077327854106637,-0.11017620308706,0.47001615846781,0.31081062630278,32.390035780807,468.28,440
12/06/2021,25.05,27.38,23.69,25.96,3.96,339,20490,23.81%,0.70003011290036,0.0090083512580288,-0.1376931489245,0.56433483599779,0.29674998547335,25.960050380879,458.79,440
12/03/2021,24.69,24.69,21.93,22,-3.6,1005,20419,24.54%,0.64255115002568,0.010016702402176,-0.14707604336594,0.61832024091074,0.296692391899,23.219999999994,453.42,440
12/02/2021,21.86,26.79,21.86,25.6,3.4,159,20337,23.88%,0.68061684623899,0.0088747179642468,-0.13598327060542,0.60299588181891,0.31776242220221,25.600048932359,457.4,440
12/01/2021,27.33,29.85,22.2,22.2,-3.8,243,20372,25.15%,0.61187723772121,0.0090717226550519,-0.15166101569786,0.64354226918069,0.29455683355066,22.094999999998,450.5,440
11/30/2021,28.65,29.85,24.89,26,-4.93,78,20388,26.03%,0.65160703500451,0.0082877723350478,-0.15107202487208,0.63400517246883,0.31758394847259,26.000045889809,455.56,440
11/29/2021,30.44,31.17,29.23,30.93,3.68,67,20388,22.78%,0.74479286956839,0.0080139700355834,-0.11347486058288,0.56625217987552,0.35765023330793,30.4800286145,464.6,440
11/26/2021,29.48,29.48,27.25,27.25,-5.23,182,20388,23.49%,0.6884432826725,0.010038799960959,-0.12539288288879,0.63347995352916,0.35897027940633,27.250052007836,458.97,440
11/24/2021,31.4,32.48,31.32,32.48,-0.37,13,20387,20.55%,0.79466370956154,0.0074732264938138,-0.085236103922097,0.52836606102546,0.38962874349124,33.46502868732,469.44,440
